CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_32_simulator.py
MEM 333.828125 1715190724.8049
MEM 333.953125 1715190724.9055
MEM 334.050781 1715190725.0065
MEM 334.128906 1715190725.1075
MEM 334.246094 1715190725.2085
MEM 334.359375 1715190725.3095
MEM 334.429688 1715190725.4105
MEM 334.710938 1715190725.5115
MEM 334.832031 1715190725.6117
MEM 334.871094 1715190725.7126
MEM 335.000000 1715190725.8136
MEM 335.128906 1715190725.9147
MEM 335.179688 1715190726.0156
MEM 335.308594 1715190726.1161
MEM 335.433594 1715190726.2166
MEM 335.468750 1715190726.3176
MEM 335.578125 1715190726.4183
MEM 335.714844 1715190726.5189
MEM 335.742188 1715190726.6194
MEM 335.882812 1715190726.7200
MEM 336.015625 1715190726.8205
MEM 336.046875 1715190726.9210
MEM 336.191406 1715190727.0215
MEM 336.320312 1715190727.1220
MEM 336.394531 1715190727.2227
MEM 336.535156 1715190727.3233
MEM 336.671875 1715190727.4238
MEM 336.734375 1715190727.5249
MEM 336.867188 1715190727.6258
MEM 336.996094 1715190727.7268
MEM 337.058594 1715190727.8278
MEM 337.101562 1715190727.9282
MEM 337.218750 1715190728.0292
MEM 337.304688 1715190728.1303
MEM 337.382812 1715190728.2312
MEM 337.500000 1715190728.3322
MEM 337.605469 1715190728.4333
MEM 337.679688 1715190728.5342
MEM 337.800781 1715190728.6347
MEM 337.914062 1715190728.7353
MEM 337.972656 1715190728.8359
MEM 338.117188 1715190728.9366
MEM 338.238281 1715190729.0376
MEM 338.296875 1715190729.1380
MEM 338.460938 1715190729.2385
MEM 338.609375 1715190729.3395
MEM 338.617188 1715190729.4405
MEM 338.824219 1715190729.5415
MEM 338.953125 1715190729.6425
MEM 338.953125 1715190729.7435
MEM 339.082031 1715190729.8445
MEM 339.164062 1715190729.9455
MEM 339.199219 1715190730.0465
MEM 339.335938 1715190730.1475
MEM 339.464844 1715190730.2485
MEM 339.492188 1715190730.3491
MEM 339.625000 1715190730.4501
MEM 339.910156 1715190730.5506
MEM 339.957031 1715190730.6508
MEM 340.097656 1715190730.7513
MEM 340.242188 1715190730.8523
MEM 340.281250 1715190730.9528
MEM 340.414062 1715190731.0534
MEM 340.542969 1715190731.1539
MEM 340.578125 1715190731.2544
MEM 340.703125 1715190731.3549
MEM 340.839844 1715190731.4554
MEM 340.890625 1715190731.5561
MEM 341.000000 1715190731.6572
MEM 341.117188 1715190731.7577
MEM 341.195312 1715190731.8588
MEM 341.296875 1715190731.9593
MEM 341.425781 1715190732.0598
MEM 341.515625 1715190732.1603
MEM 341.582031 1715190732.2610
MEM 341.718750 1715190732.3620
MEM 341.816406 1715190732.4630
MEM 341.886719 1715190732.5640
MEM 342.023438 1715190732.6650
MEM 342.136719 1715190732.7660
MEM 342.179688 1715190732.8670
MEM 342.296875 1715190732.9680
MEM 342.417969 1715190733.0690
MEM 342.464844 1715190733.1701
MEM 342.582031 1715190733.2706
MEM 342.718750 1715190733.3711
MEM 342.765625 1715190733.4722
MEM 342.875000 1715190733.5727
MEM 343.000000 1715190733.6732
MEM 343.078125 1715190733.7740
MEM 343.156250 1715190733.8750
MEM 343.296875 1715190733.9755
MEM 343.386719 1715190734.0761
MEM 343.457031 1715190734.1766
MEM 343.519531 1715190734.2777
MEM 343.546875 1715190734.3787
MEM 343.593750 1715190734.4797
MEM 343.695312 1715190734.5806
MEM 343.839844 1715190734.6816
MEM 343.968750 1715190734.7826
MEM 344.019531 1715190734.8837
MEM 344.156250 1715190734.9847
MEM 344.261719 1715190735.0857
MEM 344.316406 1715190735.1868
MEM 344.429688 1715190735.2877
MEM 344.628906 1715190735.3882
MEM 344.687500 1715190735.4889
MEM 344.796875 1715190735.5896
MEM 344.929688 1715190735.6901
MEM 345.074219 1715190735.7908
MEM 345.152344 1715190735.8913
MEM 345.355469 1715190735.9919
MEM 345.355469 1715190736.0929
MEM 345.488281 1715190736.1939
MEM 345.617188 1715190736.2949
MEM 345.652344 1715190736.3959
MEM 345.703125 1715190736.4968
MEM 345.816406 1715190736.5978
MEM 345.937500 1715190736.6987
MEM 345.976562 1715190736.7990
MEM 346.121094 1715190736.9001
MEM 346.238281 1715190737.0010
MEM 346.273438 1715190737.1015
MEM 346.402344 1715190737.2025
MEM 346.531250 1715190737.3032
MEM 346.562500 1715190737.4038
MEM 346.699219 1715190737.5048
MEM 346.832031 1715190737.6053
MEM 346.867188 1715190737.7060
MEM 346.988281 1715190737.8065
MEM 347.125000 1715190737.9070
MEM 347.175781 1715190738.0081
MEM 347.281250 1715190738.1090
MEM 347.488281 1715190738.2100
MEM 347.550781 1715190738.3111
MEM 347.687500 1715190738.4120
MEM 347.750000 1715190738.5130
MEM 347.816406 1715190738.6140
MEM 347.906250 1715190738.7150
MEM 348.039062 1715190738.8162
MEM 348.109375 1715190738.9172
MEM 348.210938 1715190739.0182
MEM 348.351562 1715190739.1187
MEM 348.429688 1715190739.2192
MEM 348.511719 1715190739.3197
MEM 348.648438 1715190739.4203
MEM 348.722656 1715190739.5209
MEM 348.792969 1715190739.6214
MEM 348.941406 1715190739.7219
MEM 349.046875 1715190739.8226
MEM 349.097656 1715190739.9231
MEM 349.226562 1715190740.0234
MEM 349.355469 1715190740.1239
MEM 349.386719 1715190740.2250
MEM 349.765625 1715190740.3255
MEM 349.886719 1715190740.4258
MEM 349.917969 1715190740.5269
MEM 350.039062 1715190740.6278
MEM 350.183594 1715190740.7288
MEM 350.214844 1715190740.8299
MEM 350.328125 1715190740.9309
MEM 350.472656 1715190741.0319
MEM 350.546875 1715190741.1329
MEM 350.648438 1715190741.2339
MEM 350.777344 1715190741.3349
MEM 350.847656 1715190741.4360
MEM 350.925781 1715190741.5369
MEM 351.070312 1715190741.6374
MEM 351.164062 1715190741.7380
MEM 351.226562 1715190741.8386
MEM 351.359375 1715190741.9396
MEM 351.464844 1715190742.0407
MEM 351.523438 1715190742.1416
MEM 351.648438 1715190742.2426
MEM 351.765625 1715190742.3436
MEM 351.800781 1715190742.4448
MEM 352.027344 1715190742.5458
MEM 352.167969 1715190742.6468
MEM 352.214844 1715190742.7479
MEM 352.343750 1715190742.8488
MEM 352.464844 1715190742.9493
MEM 352.523438 1715190743.0498
MEM 352.632812 1715190743.1504
MEM 352.824219 1715190743.2509
MEM 352.886719 1715190743.3515
MEM 353.023438 1715190743.4525
MEM 353.152344 1715190743.5530
MEM 353.222656 1715190743.6535
MEM 353.250000 1715190743.7542
MEM 353.359375 1715190743.8549
MEM 353.460938 1715190743.9556
MEM 353.507812 1715190744.0561
MEM 353.632812 1715190744.1566
MEM 353.769531 1715190744.2572
MEM 353.796875 1715190744.3574
MEM 353.929688 1715190744.4580
MEM 354.066406 1715190744.5585
MEM 354.097656 1715190744.6590
MEM 354.234375 1715190744.7595
MEM 354.351562 1715190744.8600
MEM 354.394531 1715190744.9611
MEM 354.531250 1715190745.0620
MEM 354.632812 1715190745.1630
MEM 354.679688 1715190745.2641
MEM 354.808594 1715190745.3650
MEM 354.871094 1715190745.4660
MEM 354.953125 1715190745.5665
MEM 355.023438 1715190745.6674
MEM 355.160156 1715190745.7684
MEM 355.261719 1715190745.8694
MEM 355.457031 1715190745.9699
MEM 355.593750 1715190746.0704
MEM 355.718750 1715190746.1714
MEM 355.761719 1715190746.2725
MEM 355.890625 1715190746.3735
MEM 356.023438 1715190746.4746
MEM 356.054688 1715190746.5755
MEM 356.167969 1715190746.6767
MEM 356.292969 1715190746.7776
MEM 356.324219 1715190746.8787
MEM 356.453125 1715190746.9796
MEM 356.562500 1715190747.0806
MEM 356.640625 1715190747.1817
MEM 356.722656 1715190747.2821
MEM 356.859375 1715190747.3826
MEM 356.945312 1715190747.4831
MEM 357.027344 1715190747.5840
MEM 357.156250 1715190747.6845
MEM 357.261719 1715190747.7852
MEM 357.324219 1715190747.8857
MEM 357.441406 1715190747.9862
MEM 357.578125 1715190748.0873
MEM 357.625000 1715190748.1882
MEM 357.746094 1715190748.2892
MEM 357.878906 1715190748.3903
MEM 357.914062 1715190748.4912
MEM 358.039062 1715190748.5922
MEM 358.187500 1715190748.6932
MEM 358.222656 1715190748.7943
MEM 358.347656 1715190748.8948
MEM 358.480469 1715190748.9953
MEM 358.515625 1715190749.0964
MEM 358.632812 1715190749.1969
MEM 358.750000 1715190749.2974
MEM 358.828125 1715190749.3979
MEM 358.921875 1715190749.4984
MEM 359.046875 1715190749.5990
MEM 359.144531 1715190749.6994
MEM 359.207031 1715190749.8003
MEM 359.343750 1715190749.9013
MEM 359.449219 1715190750.0024
MEM 359.496094 1715190750.1033
MEM 359.695312 1715190750.2043
MEM 359.777344 1715190750.3054
MEM 359.839844 1715190750.4063
MEM 360.035156 1715190750.5073
MEM 360.105469 1715190750.6078
MEM 360.167969 1715190750.7084
MEM 360.300781 1715190750.8093
MEM 360.429688 1715190750.9099
MEM 360.449219 1715190751.0109
MEM 360.578125 1715190751.1119
MEM 360.679688 1715190751.2129
MEM 360.714844 1715190751.3139
MEM 360.828125 1715190751.4149
MEM 360.957031 1715190751.5159
MEM 360.996094 1715190751.6169
MEM 361.117188 1715190751.7179
MEM 361.261719 1715190751.8184
MEM 361.304688 1715190751.9190
MEM 361.425781 1715190752.0196
MEM 361.535156 1715190752.1199
MEM 361.609375 1715190752.2202
MEM 361.699219 1715190752.3210
MEM 361.835938 1715190752.4216
MEM 361.921875 1715190752.5226
MEM 361.972656 1715190752.6236
MEM 362.097656 1715190752.7246
MEM 362.234375 1715190752.8257
MEM 362.265625 1715190752.9266
MEM 362.382812 1715190753.0276
MEM 362.531250 1715190753.1286
MEM 362.566406 1715190753.2297
